customer_id,signup_date,plan_type,monthly_spend,last_login_date,num_logins_30d,support_tickets_30d,cancelled_flag,preferred_language,internal_import_batch
cust_0001,2024-02-15,Basic,17.97,2026-06-29,13,4,true,fr,import_05
cust_0002,2023-08-28,Enterprise,264.65,2026-06-18,18,3,false,en,import_03
cust_0003,2025-01-04,Professional,94.47,2026-07-26,21,2,false,fr,import_02
cust_0004,2025-04-03,Standard,44.93,2026-06-29,16,3,false,de,import_06
cust_0005,2022-12-15,Professional,95.40,2026-07-20,25,0,false,de,import_03
cust_0006,2025-03-04,Standard,54.83,2026-08-01,27,1,false,fr,import_07
cust_0007,2023-02-22,Professional,88.28,2026-07-16,21,1,true,es,import_05
cust_0008,2023-03-08,Standard,54.21,2026-07-06,15,1,false,pt,import_06
cust_0009,2022-07-22,Enterprise,254.71,2026-07-18,21,2,false,es,import_01
cust_0010,2024-10-31,Professional,98.57,,20,1,false,pt,import_01
cust_0011,2024-06-10,Standard,42.94,2026-07-06,20,2,false,es,import_07
cust_0012,2023-12-21,Basic,19.13,2026-06-22,8,2,true,fr,import_04
cust_0013,2023-04-29,Standard,49.16,2026-08-04,25,1,false,nl,import_01
cust_0014,2022-10-28,Standard,50.45,2026-06-17,14,2,true,fr,import_04
cust_0015,2025-02-14,Professional,87.03,2026-06-17,13,1,false,pt,import_02
cust_0016,2022-08-06,Professional,101.97,2026-05-09,5,3,true,pt,import_01
cust_0017,2023-05-28,Professional,109.75,2026-08-05,26,3,false,nl,import_08
cust_0018,2024-11-30,Professional,107.99,2026-07-12,20,2,false,es,import_08
cust_0019,2025-09-19,Enterprise,273.87,2026-06-13,7,3,true,de,import_07
cust_0020,2023-10-06,Enterprise,236.63,2026-07-13,14,2,false,nl,import_06
cust_0021,2023-09-04,Professional,99.24,2026-06-06,12,4,true,pt,import_01
cust_0022,2023-10-21,Standard,47.52,2026-07-17,20,2,true,de,import_05
cust_0023,2023-05-05,Basic,19.82,2026-06-03,7,2,true,pt,import_03
cust_0024,2022-07-06,Standard,43.25,2026-06-05,10,1,false,nl,import_04
cust_0025,2025-03-23,Enterprise,262.63,2026-07-10,16,1,false,es,import_07
cust_0026,2025-12-24,Professional,91.56,2026-08-04,29,0,false,es,import_03
cust_0027,2023-08-01,Basic,18.22,2026-05-25,6,4,false,de,import_05
cust_0028,2022-07-15,Professional,94.59,2026-07-12,24,0,false,nl,import_08
cust_0029,2023-05-09,Professional,89.33,2026-05-13,6,3,true,nl,import_03
cust_0030,2024-02-06,Basic,17.75,2026-06-21,9,4,false,en,import_02
cust_0031,2022-12-14,Enterprise,225.48,2026-07-29,18,1,false,fr,import_01
cust_0032,2023-02-04,Professional,102.52,2026-06-25,,4,false,fr,import_05
cust_0033,2024-01-24,Basic,19.65,2026-06-24,11,3,true,en,import_03
cust_0034,2022-11-04,Standard,44.94,2026-07-31,18,2,false,de,import_08
cust_0035,2025-01-05,Professional,98.22,2026-07-30,18,2,false,en,import_01
cust_0036,2026-04-15,Standard,47.89,2026-05-11,9,0,true,de,import_04
cust_0037,2025-09-22,Basic,18.96,2026-05-21,3,3,true,fr,import_08
cust_0038,2023-12-09,Enterprise,232.79,2026-05-26,10,2,true,en,import_05
cust_0039,2022-10-15,Professional,108.73,2026-05-22,11,3,false,de,import_02
cust_0040,2022-08-18,Professional,104.19,2026-05-29,13,4,true,nl,import_01
cust_0041,2023-01-02,Basic,18.78,2026-08-04,30,2,false,de,import_07
cust_0042,2026-04-08,Standard,50.16,2026-08-04,26,2,false,de,import_04
cust_0043,2026-02-22,Basic,19.35,2026-06-16,9,3,false,fr,import_02
cust_0044,2026-03-29,Professional,93.33,2026-07-06,22,3,false,fr,import_05
cust_0045,2026-03-06,Basic,20.89,2026-06-12,14,4,false,de,import_03
cust_0046,2024-06-26,Enterprise,244.70,2026-05-11,3,2,false,en,import_05
cust_0047,2024-08-12,Professional,95.76,2026-08-05,24,2,false,fr,import_08
cust_0048,2024-07-23,Professional,109.53,2026-06-25,19,4,false,de,import_06
cust_0049,2024-07-30,Professional,87.70,2026-05-14,1,1,true,pt,import_04
cust_0050,2022-11-28,Standard,45.38,2026-07-29,28,2,false,pt,import_04
cust_0051,2024-07-21,Professional,104.36,2026-08-04,23,1,false,nl,import_06
cust_0052,2023-06-10,Professional,108.65,2026-07-20,25,0,false,fr,import_05
cust_0053,2026-04-18,Basic,18.37,2026-07-31,23,1,false,en,import_08
cust_0054,2026-06-17,Basic,16.65,2026-08-05,21,2,false,en,import_04
cust_0055,2026-01-06,Standard,44.21,2026-07-19,26,1,false,en,import_02
cust_0056,2026-03-31,Professional,89.74,2026-06-18,11,1,true,es,import_07
cust_0057,2024-07-01,Basic,19.95,2026-07-06,13,1,false,de,import_02
cust_0058,2024-10-17,Professional,90.93,2026-06-24,16,1,false,de,import_07
cust_0059,2022-11-15,Standard,,2026-05-14,2,2,true,nl,import_01
cust_0060,2023-09-24,Professional,100.86,2026-07-31,26,2,false,en,import_04
cust_0061,2023-05-30,Basic,21.34,2026-08-01,27,0,false,es,import_02
cust_0062,2023-09-18,Enterprise,231.06,2026-07-10,16,1,false,en,import_07
cust_0063,2022-11-25,Standard,50.52,2026-05-17,5,5,true,fr,import_01
cust_0064,2022-08-03,Enterprise,243.62,2026-07-19,18,2,false,nl,import_01
cust_0065,2023-03-12,Standard,51.07,2026-07-02,11,1,false,es,import_08
cust_0066,2025-03-20,Enterprise,226.14,2026-05-24,12,3,true,pt,import_04
