customer_id,monthly_spend,num_logins_30d,support_tickets_30d,cancelled_flag,account_tenure_days,days_since_last_login,signup_year,signup_month,signup_day,signup_day_of_week,spend_per_login,support_per_login,is_inactive,plan_type_encoded,preferred_language_en,preferred_language_es,preferred_language_fr,preferred_language_nl,preferred_language_pt
cust_0001,17.97,13.0,4.0,True,915,50.0,2024,2,15,3,1.2835714285714286,0.2857142857142857,0,0,0,0,1,0,0
cust_0002,264.65,18.0,3.0,False,1086,61.0,2023,8,28,0,13.928947368421051,0.15789473684210525,0,3,1,0,0,0,0
cust_0003,94.47,21.0,2.0,False,591,23.0,2025,1,4,5,4.294090909090909,0.09090909090909091,0,2,0,0,1,0,0
cust_0004,44.93,16.0,3.0,False,502,50.0,2025,4,3,3,2.6429411764705883,0.17647058823529413,0,1,0,0,0,0,0
cust_0005,95.4,25.0,0.0,False,1342,29.0,2022,12,15,3,3.6692307692307695,0.0,0,2,0,0,0,0,0
cust_0006,54.83,27.0,1.0,False,532,17.0,2025,3,4,1,1.9582142857142857,0.03571428571428571,0,1,0,0,1,0,0
cust_0007,88.28,21.0,1.0,True,1273,33.0,2023,2,22,2,4.012727272727273,0.045454545454545456,0,2,0,1,0,0,0
cust_0008,54.21,15.0,1.0,False,1259,43.0,2023,3,8,2,3.388125,0.0625,0,1,0,0,0,0,1
cust_0009,254.71,21.0,2.0,False,1488,31.0,2022,7,22,4,11.577727272727273,0.09090909090909091,0,3,0,1,0,0,0
cust_0010,98.57,20.0,1.0,False,656,39.0,2024,10,31,3,4.693809523809524,0.047619047619047616,0,2,0,0,0,0,1
cust_0011,42.94,20.0,2.0,False,799,43.0,2024,6,10,0,2.044761904761905,0.09523809523809523,0,1,0,1,0,0,0
cust_0012,19.13,8.0,2.0,True,971,57.0,2023,12,21,3,2.1255555555555556,0.2222222222222222,0,0,0,0,1,0,0
cust_0013,49.16,25.0,1.0,False,1207,14.0,2023,4,29,5,1.8907692307692305,0.038461538461538464,0,1,0,0,0,1,0
cust_0014,50.45,14.0,2.0,True,1390,62.0,2022,10,28,4,3.3633333333333337,0.13333333333333333,0,1,0,0,1,0,0
cust_0015,87.03,13.0,1.0,False,550,62.0,2025,2,14,4,6.216428571428572,0.07142857142857142,0,2,0,0,0,0,1
cust_0016,101.97,5.0,3.0,True,1473,101.0,2022,8,6,5,16.995,0.5,0,2,0,0,0,0,1
cust_0017,109.75,26.0,3.0,False,1178,13.0,2023,5,28,6,4.064814814814815,0.1111111111111111,0,2,0,0,0,1,0
cust_0018,107.99,20.0,2.0,False,626,37.0,2024,11,30,5,5.142380952380952,0.09523809523809523,0,2,0,1,0,0,0
cust_0019,273.87,7.0,3.0,True,333,66.0,2025,9,19,4,34.23375,0.375,0,3,0,0,0,0,0
cust_0020,236.63,14.0,2.0,False,1047,36.0,2023,10,6,4,15.775333333333332,0.13333333333333333,0,3,0,0,0,1,0
cust_0021,99.24,12.0,4.0,True,1079,73.0,2023,9,4,0,7.633846153846154,0.3076923076923077,0,2,0,0,0,0,1
cust_0022,47.52,20.0,2.0,True,1032,32.0,2023,10,21,5,2.262857142857143,0.09523809523809523,0,1,0,0,0,0,0
cust_0023,19.82,7.0,2.0,True,1201,76.0,2023,5,5,4,2.4775,0.25,0,0,0,0,0,0,1
cust_0024,43.25,10.0,1.0,False,1504,74.0,2022,7,6,2,3.9318181818181817,0.09090909090909091,0,1,0,0,0,1,0
cust_0025,262.63,16.0,1.0,False,513,39.0,2025,3,23,6,15.448823529411765,0.058823529411764705,0,3,0,1,0,0,0
cust_0026,91.56,29.0,0.0,False,237,14.0,2025,12,24,2,3.052,0.0,0,2,0,1,0,0,0
cust_0027,18.22,6.0,4.0,False,1113,85.0,2023,8,1,1,2.6028571428571428,0.5714285714285714,0,0,0,0,0,0,0
cust_0028,94.59,24.0,0.0,False,1495,37.0,2022,7,15,4,3.7836000000000003,0.0,0,2,0,0,0,1,0
cust_0029,89.33,6.0,3.0,True,1197,97.0,2023,5,9,1,12.76142857142857,0.42857142857142855,0,2,0,0,0,1,0
cust_0030,17.75,9.0,4.0,False,924,58.0,2024,2,6,1,1.775,0.4,0,0,1,0,0,0,0
cust_0031,225.48,18.0,1.0,False,1343,20.0,2022,12,14,2,11.867368421052632,0.05263157894736842,0,3,0,0,1,0,0
cust_0032,102.52,18.0,4.0,False,1291,54.0,2023,2,4,5,5.395789473684211,0.21052631578947367,0,2,0,0,1,0,0
cust_0033,19.65,11.0,3.0,True,937,55.0,2024,1,24,2,1.6375,0.25,0,0,1,0,0,0,0
cust_0034,44.94,18.0,2.0,False,1383,18.0,2022,11,4,4,2.3652631578947365,0.10526315789473684,0,1,0,0,0,0,0
cust_0035,98.22,18.0,2.0,False,590,19.0,2025,1,5,6,5.169473684210526,0.10526315789473684,0,2,1,0,0,0,0
cust_0036,47.89,9.0,0.0,True,125,99.0,2026,4,15,2,4.789,0.0,0,1,0,0,0,0,0
cust_0037,18.96,3.0,3.0,True,330,89.0,2025,9,22,0,4.74,0.75,0,0,0,0,1,0,0
cust_0038,232.79,10.0,2.0,True,983,84.0,2023,12,9,5,21.16272727272727,0.18181818181818182,0,3,1,0,0,0,0
cust_0039,108.73,11.0,3.0,False,1403,88.0,2022,10,15,5,9.060833333333333,0.25,0,2,0,0,0,0,0
cust_0040,104.19,13.0,4.0,True,1461,81.0,2022,8,18,3,7.442142857142857,0.2857142857142857,0,2,0,0,0,1,0
cust_0041,18.78,30.0,2.0,False,1324,14.0,2023,1,2,0,0.6058064516129033,0.06451612903225806,0,0,0,0,0,0,0
cust_0042,50.16,26.0,2.0,False,132,14.0,2026,4,8,2,1.8577777777777778,0.07407407407407407,0,1,0,0,0,0,0
cust_0043,19.35,9.0,3.0,False,177,63.0,2026,2,22,6,1.935,0.3,0,0,0,0,1,0,0
cust_0044,93.33,22.0,3.0,False,142,43.0,2026,3,29,6,4.0578260869565215,0.13043478260869565,0,2,0,0,1,0,0
